JourneyID,CustomerID,ProductID,VisitDate,Stage,Action,Duration,CustomerName,Email,Gender,Age,GeographyID,ProductName,Category,Price,ReviewID,ReviewDate,Rating,ReviewText
37,38,17,2024-06-18,Checkout,Drop-off,166.53488372093022,John Garcia,john.garcia@example.com,Male,28,4,Surfboard,Sports,275.43,,,,
38,13,18,2023-02-23,ProductPage,View,227.0,David Wilson,david.wilson@example.com,Male,50,1,Volleyball,Sports,42.8,,,,
39,63,18,2023-08-10,ProductPage,View,233.0,John Davis,john.davis@example.com,Male,27,9,Volleyball,Sports,42.8,,,,
40,4,12,2024-12-22,Homepage,View,110.0,David Garcia,david.garcia@example.com,Male,25,8,Ice Skates,Sports,37.56,,,,
41,92,5,2025-11-23,ProductPage,View,124.0,David Hernandez,david.hernandez@example.com,Female,67,1,Soccer Ball,Sports,41.26,,,,
42,95,10,2025-01-28,Homepage,View,172.0,James Jones,james.jones@example.com,Male,43,2,Golf Clubs,Sports,81.59,,,,
43,21,8,2025-03-14,Homepage,View,40.0,Olivia Gonzalez,olivia.gonzalez@example.com,Female,40,4,Football Helmet,Sports,44.75,,,,
44,29,3,2024-02-29,Homepage,View,193.0,Sophia Anderson,sophia.anderson@example.com,Female,26,5,Yoga Mat,Sports,485.32,,,,
45,94,6,2023-06-07,productpage,View,118.0,Jane Anderson,jane.anderson@example.com,Male,48,7,Tennis Racket,Sports,36.07,,,,
46,30,19,2025-10-27,Homepage,View,210.0,Alex Garcia,alex.garcia@example.com,Female,33,7,Hockey Stick,Sports,173.83,,,,
47,30,20,2024-02-18,checkout,Drop-off,166.53488372093022,Alex Garcia,alex.garcia@example.com,Female,33,7,Boxing Gloves,Sports,262.32,,,,
48,52,13,2025-02-01,Homepage,View,241.0,Robert Williams,robert.williams@example.com,Female,41,9,Swim Goggles,Sports,145.97,,,,
49,93,14,2023-04-09,Homepage,Click,69.0,Jane Rodriguez,jane.rodriguez@example.com,Female,41,4,Cycling Helmet,Sports,472.32,,,,
50,5,9,2024-04-19,Homepage,View,44.0,Emma Miller,emma.miller@example.com,Female,41,4,Baseball Glove,Sports,327.36,,,,
51,65,8,2025-09-29,ProductPage,View,272.0,Olivia Rodriguez,olivia.rodriguez@example.com,Female,31,5,Football Helmet,Sports,44.75,,,,
52,15,9,2025-08-07,Checkout,Drop-off,166.53488372093022,Emma Martinez,emma.martinez@example.com,Male,32,9,Baseball Glove,Sports,327.36,,,,
53,24,4,2024-04-05,Homepage,View,182.0,Chris Hernandez,chris.hernandez@example.com,Male,25,5,Dumbbells,Sports,26.21,,,,
54,9,11,2024-11-19,checkout,Drop-off,166.53488372093022,Emily Thomas,emily.thomas@example.com,Male,29,10,Ski Boots,Sports,340.2,,,,
55,1,7,2024-03-17,Checkout,Drop-off,166.53488372093022,Emma Anderson,emma.anderson@example.com,Male,50,2,Basketball,Sports,225.12,,,,
56,97,11,2023-12-20,Homepage,Click,234.0,Emily Rodriguez,emily.rodriguez@example.com,Female,51,3,Ski Boots,Sports,340.2,,,,
57,52,14,2024-12-02,Homepage,View,253.0,Robert Williams,robert.williams@example.com,Female,41,9,Cycling Helmet,Sports,472.32,,,,
58,51,20,2025-03-08,ProductPage,View,174.0,Michael Davis,michael.davis@example.com,Female,63,10,Boxing Gloves,Sports,262.32,,,,
59,32,8,2024-08-19,Homepage,View,238.0,Laura Anderson,laura.anderson@example.com,Female,29,4,Football Helmet,Sports,44.75,,,,
60,19,6,2025-06-17,ProductPage,View,190.0,Emma Wilson,emma.wilson@example.com,Female,36,6,Tennis Racket,Sports,36.07,,,,
61,69,20,2025-07-12,Homepage,Click,14.0,Emma Gonzalez,emma.gonzalez@example.com,Male,26,4,Boxing Gloves,Sports,262.32,,,,
62,42,1,2024-10-22,Homepage,View,186.0,John Gonzalez,john.gonzalez@example.com,Female,69,1,Running Shoes,Sports,223.75,,,,
63,51,15,2025-05-22,Homepage,View,139.0,Michael Davis,michael.davis@example.com,Female,63,10,Climbing Rope,Sports,410.17,,,,
64,86,20,2023-07-03,ProductPage,View,77.0,James Hernandez,james.hernandez@example.com,Male,63,10,Boxing Gloves,Sports,262.32,,,,
65,54,10,2023-12-23,Homepage,View,101.0,Michael Gonzalez,michael.gonzalez@example.com,Female,24,5,Golf Clubs,Sports,81.59,,,,
66,52,2,2023-11-16,homepage,Click,242.0,Robert Williams,robert.williams@example.com,Female,41,9,Fitness Tracker,Sports,196.68,,,,
67,25,1,2023-05-21,ProductPage,Click,57.0,David Anderson,david.anderson@example.com,Male,26,5,Running Shoes,Sports,223.75,,,,
68,45,16,2023-04-29,ProductPage,Click,250.0,Sarah Hernandez,sarah.hernandez@example.com,Female,36,5,Kayak,Sports,259.4,,,,
69,82,19,2025-02-21,ProductPage,Click,158.0,Laura Gonzalez,laura.gonzalez@example.com,Male,43,1,Hockey Stick,Sports,173.83,,,,
70,75,17,2023-07-07,Homepage,View,297.0,David Smith,david.smith@example.com,Female,43,6,Surfboard,Sports,275.43,,,,
71,40,20,2023-07-13,Checkout,Drop-off,166.53488372093022,Olivia Thomas,olivia.thomas@example.com,Female,67,2,Boxing Gloves,Sports,262.32,84.0,2023-07-17,4.0,"Good  quality,  but  could  be  cheaper."
72,47,15,2023-08-23,Homepage,Click,34.0,Sophia Thomas,sophia.thomas@example.com,Male,69,6,Climbing Rope,Sports,410.17,,,,
73,20,16,2024-09-17,Homepage,View,17.0,David Johnson,david.johnson@example.com,Male,22,1,Kayak,Sports,259.4,,,,
74,81,13,2024-09-26,Homepage,Click,291.0,Emily Wilson,emily.wilson@example.com,Male,38,9,Swim Goggles,Sports,145.97,,,,
75,93,1,2024-10-01,ProductPage,Click,279.0,Jane Rodriguez,jane.rodriguez@example.com,Female,41,4,Running Shoes,Sports,223.75,,,,
76,42,17,2025-05-29,Checkout,Purchase,261.0,John Gonzalez,john.gonzalez@example.com,Female,69,1,Surfboard,Sports,275.43,,,,
77,36,4,2023-06-02,Homepage,Click,100.0,Emma Johnson,emma.johnson@example.com,Female,63,3,Dumbbells,Sports,26.21,,,,
78,46,17,2025-06-15,Checkout,Purchase,122.0,Chris Johnson,chris.johnson@example.com,Male,52,4,Surfboard,Sports,275.43,,,,
79,75,10,2023-11-13,Homepage,View,244.0,David Smith,david.smith@example.com,Female,43,6,Golf Clubs,Sports,81.59,,,,
80,64,6,2025-04-06,Homepage,Click,161.0,Sarah Martinez,sarah.martinez@example.com,Female,62,7,Tennis Racket,Sports,36.07,97.0,2024-01-19,3.0,"The  product  is  okay,  but  the  instructions  were  unclear."
81,89,15,2025-10-27,Checkout,Purchase,246.0,Alex Rodriguez,alex.rodriguez@example.com,Male,22,8,Climbing Rope,Sports,410.17,,,,
82,64,2,2025-06-07,Homepage,Click,261.0,Sarah Martinez,sarah.martinez@example.com,Female,62,7,Fitness Tracker,Sports,196.68,5.0,2023-07-16,3.0,"Average  experience,  nothing  special."
83,54,8,2024-01-18,ProductPage,Click,83.0,Michael Gonzalez,michael.gonzalez@example.com,Female,24,5,Football Helmet,Sports,44.75,,,,
84,79,15,2025-03-09,Checkout,Purchase,48.0,John Jones,john.jones@example.com,Female,35,6,Climbing Rope,Sports,410.17,,,,
85,56,4,2023-05-26,Homepage,Click,166.0,Sophia Davis,sophia.davis@example.com,Female,66,9,Dumbbells,Sports,26.21,,,,
86,83,3,2023-09-06,Homepage,View,79.0,Emily Jones,emily.jones@example.com,Male,20,9,Yoga Mat,Sports,485.32,,,,
87,2,2,2023-09-25,Homepage,View,277.0,Sarah Brown,sarah.brown@example.com,Female,37,4,Fitness Tracker,Sports,196.68,,,,
88,15,20,2025-12-18,homepage,View,136.0,Emma Martinez,emma.martinez@example.com,Male,32,9,Boxing Gloves,Sports,262.32,,,,
89,14,9,2025-04-18,Homepage,Click,104.0,Olivia Wilson,olivia.wilson@example.com,Male,60,4,Baseball Glove,Sports,327.36,,,,
90,49,8,2025-03-25,Homepage,View,248.0,Michael Smith,michael.smith@example.com,Female,61,4,Football Helmet,Sports,44.75,,,,
91,99,10,2023-12-07,Homepage,Click,244.0,Laura Hernandez,laura.hernandez@example.com,Male,41,5,Golf Clubs,Sports,81.59,,,,
92,88,14,2025-03-09,Homepage,View,29.0,James Brown,james.brown@example.com,Male,42,3,Cycling Helmet,Sports,472.32,,,,
93,43,8,2023-08-22,Checkout,Drop-off,166.53488372093022,Olivia Hernandez,olivia.hernandez@example.com,Male,53,8,Football Helmet,Sports,44.75,,,,
94,15,18,2024-09-20,Homepage,Click,143.0,Emma Martinez,emma.martinez@example.com,Male,32,9,Volleyball,Sports,42.8,,,,
95,60,8,2024-09-14,Homepage,View,182.0,John Thomas,john.thomas@example.com,Male,53,6,Football Helmet,Sports,44.75,,,,
96,22,9,2024-07-28,ProductPage,View,212.0,Alex Wilson,alex.wilson@example.com,Male,53,2,Baseball Glove,Sports,327.36,,,,
97,92,19,2025-05-26,homepage,View,203.0,David Hernandez,david.hernandez@example.com,Female,67,1,Hockey Stick,Sports,173.83,,,,
98,95,8,2025-05-25,Homepage,Click,68.0,James Jones,james.jones@example.com,Male,43,2,Football Helmet,Sports,44.75,,,,
99,58,16,2024-07-06,Checkout,Purchase,87.0,Jane Williams,jane.williams@example.com,Male,34,10,Kayak,Sports,259.4,,,,
100,92,10,2024-04-06,ProductPage,View,237.0,David Hernandez,david.hernandez@example.com,Female,67,1,Golf Clubs,Sports,81.59,,,,
